"id","n_abnj","n_all"
"100979",2,2
"1009799",0,46
"100980",0,8
"1009806",0,1
"1009807",0,17
"1009810",0,8
"100982",3,1858
"100983",0,4
"1009836",0,1
"100984",0,2
"1009840",0,4
"100985",0,4
"1009858",0,2
"100986",1,424
"100987",1,545
"100989",0,20
"100991",1,1380
"100993",0,9
"100994",1,629
"1009941",0,10
"100995",0,1
"100996",0,1
"100997",0,3
"100998",0,2
"100999",1,90
"101000",0,2
"1010009",0,5
"101001",0,4
"101002",1,629
"1010026",0,6
"101003",0,25
"1010033",0,22
"101004",0,17
"1010044",0,3
"101005",0,191
"1010058",0,15
"101007",0,12
"1010078",0,7
"101011",1,44
"1010110",0,1
"101012",2,20
"101013",0,83
"101015",1,20
"1010151",0,8
"1010153",0,2
"1010154",0,2
"101016",0,443
"101017",0,19
"101018",3,24
"101019",0,13
"101020",0,9
"101021",2,31
"1010216",0,7
"1010220",0,32
"1010225",0,4
"101023",0,64
"101025",1,1192
"1010255",0,5
"101026",0,3
"101027",22,55
"101028",0,1
"1010282",0,7
"101029",0,5
"101030",0,1
"1010303",0,1
"1010309",0,8
"101031",0,37
"1010316",0,1
"1010317",0,2
"101032",0,1
"1010323",0,1
"101033",0,3
"1010336",0,1
"101035",0,8
"101036",25,161
"101037",3,601
"101038",0,2
"101039",0,1
"1010390",0,2
"101041",0,1
"1010411",0,2
"1010412",0,59
"1010426",1,901
"101043",0,6
"1010441",0,12
"1010451",0,1
"101046",1,3
"101047",0,18
"101048",0,1
"101049",0,10
"101050",0,1
"1010505",0,2
"101051",0,1
"101052",0,2
"101053",0,171
"101054",0,72
"101055",1,82
"1010574",0,124
"1010577",0,1
"101058",1,62
"1010639",0,2
"1010707",0,443
"1010711",0,4
"1010745",2,32
"1010748",1,6
"1010755",0,12
"1010756",0,5
"1010757",0,4
"1010758",0,74
"1010760",0,1
"1010761",0,2
"1010762",0,7
"1010773",0,117
"1010784",0,6
"1010796",0,7
"1010819",0,14
"1010830",0,6
"1010841",0,2
"1010843",0,12
"1010844",0,3
"1010846",0,2
"1010855",0,2
"1010872",0,116
"1010889",0,31
"1010890",0,66
"1010901",0,125
"1010902",0,20
"1010905",0,3
"1010913",0,1
"1010936",2,3
"1010942",0,2
"1010957",0,2
"1010961",0,2
"1010982",0,2
"1010988",0,22
"1010989",0,73
"1010990",0,4
"1010991",0,1
"1010999",0,3
"1011028",0,2
"1011041",0,3
"1011048",0,5
"101106",2,2
"101107",3,3
"1011073",0,13343
"1011076",0,7
"101111",0,1
"1011132",0,27
"101115",0,7
"1011151",0,5
"1011157",0,4
"1011158",0,2
"101117",2,2
"101119",0,4
"1011211",0,106
"1011213",0,2
"1011214",0,3
"1011215",0,3
"1011217",0,10
"1011219",0,7
"1011220",0,4
"1011241",0,2
"1011247",0,20
"1011257",0,2
"1011259",0,22
"1011261",0,1
"1011263",0,4
"101128",0,9
"1011304",0,1
"1011309",0,7
"1011312",0,67
"1011313",0,11
"1011318",0,32
"1011320",0,6
"101134",0,3
"1011343",0,2
"1011349",0,119
"101137",0,4
"1011372",0,2
"1011386",0,4
"1011391",0,2
"1011392",0,20
"1011414",0,2
"1011437",0,5
"1011438",0,4
"1011439",0,2
"1011443",0,2
"1011453",0,44
"1011468",0,1
"1011486",0,1
"1011488",0,13
"1011497",0,2
"1011499",0,2
"1011502",0,10
"1011506",0,1
"1011518",0,16
"101152",0,6
"1011520",0,14
"1011523",0,8
"1011524",1,11
"1011531",0,1
"1011534",0,1
"1011537",0,1
"1011538",0,2
"1011543",0,1
"1011551",0,41
"101156",2,10075
"1011563",0,1
"1011564",0,1
"1011565",0,28
"101157",1,36
"101159",1,12
"1011596",0,7
"101160",2,3120
"1011634",0,2
"1011636",1,1
"1011648",0,4
"1011649",0,1
"1011666",0,1
"1011681",0,1
"1011682",0,1
"1011683",0,1
"101170",9,12982
"101171",0,47
"1011718",0,108
"101172",0,354
"101173",0,105
"101174",47,1967
"1011768",0,2
"1011778",0,3
"1011779",0,8
"1011780",0,16
"1011797",0,107
"1011801",0,1
"1011804",0,3
"1011829",0,6
"1011836",0,4
"1011837",0,4
"1011850",0,16
"1011851",0,9
"1011854",0,3
"1011855",0,8
"1011859",0,4
"1011860",0,22
"1011863",0,9
"1011867",0,20
"1011905",0,37
"1011937",1,13
"1011945",0,22
"1011946",0,16
"1011950",0,1
"1011955",0,7
"1011965",0,1
"1011966",0,4
"1011974",0,1
"1011987",0,1
"101200",0,1
"101202",0,2
"1012027",0,2
"101206",19,231
"1012060",0,1
"1012063",0,8
"1012067",0,129
"1012069",0,1
"101207",18,128
"1012072",0,1
"101209",43,2620
"1012100",0,56
"1012107",0,52
"101212",0,1
"1012134",0,1
"101214",0,668
"1012142",0,2
"1012151",0,4
"1012154",0,17
"1012158",0,69
"1012161",0,4
"1012165",0,2
"101217",0,1
"1012170",0,1
"1012179",0,3
"101218",0,2
"101219",0,1
"1012197",0,2
"1012199",0,3
"1012215",0,15
"1012217",0,1
"1012218",0,9
"1012231",0,1
"1012232",0,3
"1012239",0,2
"1012247",0,2
"1012248",0,2
"1012275",0,5
"1012299",0,4
"1012308",0,2
"1012313",0,2
"1012315",0,2
"1012319",0,55
"1012333",0,52
"1012335",0,1
"1012337",0,4
"1012367",0,1
"101237",0,44
"1012371",0,5
"1012393",0,3
"1012394",0,14
"1012441",0,2
"1012443",0,4
"1012468",0,2
"1012471",0,2
"1012474",0,3
"1012485",0,2
"1012492",1,8
"1012493",0,1
"1012502",0,3
"1012511",0,1
"1012536",0,8
"1012541",0,2
"1012542",0,4
"1012545",0,2
"1012582",0,3
"1012583",0,12
"1012584",0,4
"1012593",0,4
"1012612",0,2
"1012624",0,2
"1012635",0,61
"101264",14,4073
"1012645",0,7
"101266",0,9
"1012665",0,5
"101267",0,7
"1012677",0,3
"101268",11,208
"1012681",0,4
"101269",0,2
"1012694",0,12
"1012695",0,9
"1012696",0,1
"1012697",0,8
"1012706",0,15
"101273",17,72
"1012745",0,2
"1012746",0,66
"101275",2,773
"1012757",0,6
"101276",0,5
"1012761",0,20
"1012784",0,1
"1012786",0,3
"1012787",0,5
"101279",0,2
"1012799",0,18
"1012806",0,1
"1012809",0,1
"101282",14,47
"1012833",0,80
"1012834",1,10
"1012836",0,1
"1012840",1,3
"1012841",0,5
"1012845",0,4
"1012849",0,89
"1012854",0,1
"1012861",0,1
"1012874",0,7
"1012875",0,18
"1012876",0,1
"101288",10,650
"1012881",0,9
"1012882",0,6
"101289",20,2521
"1012895",0,7
"1012940",0,20
"1012946",0,1
"101295",0,734
"1012961",1,4
"1012962",0,2
"101297",15,39
"1012993",0,1
"1012996",0,4
"101300",0,2
"101301",13,37
"101303",0,2
"1013085",0,29
"1013086",0,3
"1013101",0,25
"1013107",0,22
"1013108",0,1
"101311",0,2
"1013113",0,32
"1013114",0,1
"1013120",0,2
"1013123",0,1
"1013125",0,8
"1013127",0,2
"1013128",0,2
"1013132",0,3
"1013133",1,50
"1013149",1,22
"101315",0,7
"1013150",0,11
"1013151",0,2
"1013152",0,10
"1013153",1,58
"1013167",0,82
"1013171",0,38
"1013177",0,1
"1013188",0,3
"1013201",0,1
"1013206",0,5
"1013219",0,24
"101324",0,1
"1013242",0,2
"1013244",0,26
"1013245",0,29
"1013246",0,1
"1013247",0,5
"1013249",0,34
"101325",13,44
"1013251",0,2
"1013252",0,35
"1013253",0,1
"1013265",0,1
"1013284",0,3
"1013290",0,1
"1013292",0,3
"1013300",0,28
"1013301",0,908
"1013305",0,1
"1013307",0,2
"1013317",0,17
"1013321",0,1
"1013333",0,12
"101334",0,1
"101335",0,790
"1013366",0,14
"101337",0,34
"1013371",0,347
"1013376",0,22
"1013379",0,2
"1013389",0,1
"101342",2,1807
"1013420",0,5
"1013428",0,56
"1013443",0,1
"1013444",0,11
"1013445",0,7
"101345",0,8
"1013455",0,5
"1013456",0,1
"1013471",0,319
"1013472",0,4
"1013473",0,1
"1013474",0,1
"1013479",0,5
"1013494",0,4
"101350",0,2
"1013530",0,1
"1013534",0,2
"1013535",0,1
"1013545",0,8
"1013546",0,57
"1013548",0,1
"1013553",0,3
"1013554",0,54
"1013570",0,3
"1013571",0,530
"1013574",0,9
"1013581",0,1
"1013588",1,342
"1013591",0,1
"1013592",0,1
"1013595",0,2
"1013598",0,6
"1013619",0,7
"1013620",0,1
"1013621",1,5
"1013636",0,20
"1013642",0,48
"1013653",0,2
"1013657",0,2
"1013660",0,24
"1013661",0,37
"1013662",0,2
"1013667",0,2
"1013668",0,2
"1013670",0,1
"1013678",0,45
"1013680",0,12
"1013681",0,1
"1013682",0,2
"1013687",0,1
"1013714",0,8
"1013716",0,26
"1013725",0,25
"1013726",0,110
"1013727",1,2
"1013728",0,2
"1013729",0,1
"1013735",0,13
"1013749",0,1
"1013767",0,10
"1013772",0,1
"1013780",0,69
"1013782",0,1
"1013783",0,50
"1013798",0,2
"1013801",0,71
"1013807",0,2
"1013808",0,6
"1013811",0,1
"1013812",0,9
"1013813",0,9
"1013815",0,11
"1013833",0,3
"1013839",0,1
"1013860",0,76
"1013861",0,2
"1013871",0,69
"1013876",0,8
"1013898",0,2
"1013899",0,7
"1013917",0,26
"1013936",0,4
"1013950",0,8
"1013951",0,15
"1013961",0,1
"1013964",0,2
"1013975",0,5
"1013976",0,57
"1013977",0,31
"1013980",0,2
"1013982",0,2
"1013989",0,1
"1013993",0,2
"1013995",0,3
"1013996",0,7
"1013997",0,18
"1014012",0,1
"1014013",0,15
"1014014",0,25
"1014016",0,3
"1014021",0,3
"1014022",0,41
"1014024",0,2
"1014027",0,3
"1014033",0,10
"1014042",0,309
"1014043",0,22
"1014044",0,3
"1014050",0,1
"1014053",0,7
"1014057",0,16
"1014061",0,3
"1014065",0,1
"1014068",0,1
"1014069",0,1
"1014070",0,3
"1014071",0,1
"1014083",0,4
"1014088",0,1
"1014092",0,51
"1014095",0,62
"1014097",0,13
"1014098",0,1
"1014100",0,2
"1014116",0,3
"1014131",0,4
"1014132",3,28
"1014160",0,277
"1014164",0,2
"1014165",0,3
"1014169",0,1
"1014172",0,703
"1014173",0,8
"1014175",0,10
"1014176",0,896
"1014189",0,69
"1014191",0,260
"1014198",0,1
"1014222",0,28
"1014229",0,29
"1014233",0,3
"1014241",0,4
"1014253",0,6
"1014254",0,1
"1014262",0,4
"1014285",0,1
"1014287",2,6
"1014293",0,2
"1014300",0,5
"1014301",0,2
"1014302",0,1
"1014309",0,1
"1014312",0,9
"1014322",0,7
"1014325",0,4
"1014330",0,5
"1014331",0,7
"1014338",0,4
"1014349",0,10
"1014350",0,6
"1014359",0,5
"1014360",0,4
"1014361",0,2
"1014365",0,2
"1014366",0,2
"1014367",0,5
"1014374",0,4
"1014390",0,18
"1014399",0,3
"1014412",0,1
"1014416",0,2
"1014419",0,56
"1014420",0,248
"1014423",0,5
"1014432",0,7
"1014466",0,6
"1014484",0,17
"1014492",0,4
"1014493",0,4
"1014509",0,1
"1014516",0,1
"1014533",0,3
"1014538",0,1
"1014559",0,2
"1014567",0,7
"1014583",0,4
"1014589",0,1
"1014591",3,45
"1014592",0,36
"1014596",0,13
"1014598",0,28
"1014603",0,2
"1014626",0,1
"1014633",0,10
"1014668",0,10
"1014673",0,30
"1014679",0,227
"1014687",0,85
"1014688",0,4
"1014689",0,1
"1014705",0,2
"1014716",0,56
"1014722",0,7
"1014733",0,1
"1014734",0,3
"1014759",0,6
"1014767",0,3
"1014769",0,4
"1014774",0,1
"1014775",0,18
"1014776",0,3
"1014780",0,20
"1014783",0,3
"1014794",0,9
"1014809",0,6
"1014814",0,3
"1014819",0,2
"1014820",0,3
"1014832",0,20
"1014836",0,4
"1014837",1,237
"1014858",0,8
"1014873",0,15
"1014877",0,22
"1014878",0,1
"1014883",0,2
"1014884",0,13
"1014889",0,1
"1014890",0,3
"1014926",0,29
"1014929",0,2
"1014943",0,8
"1014947",0,1
"1014949",0,2
"1014961",0,238
"1014966",0,2
"1014976",1,3
"1014982",0,2
"1014985",0,3
"1014990",0,10
"1014993",0,14
"1014999",0,1
"1015000",0,1
"1015002",1,4
"1015011",0,1
"1015018",0,3
"1015027",0,3
"1015043",0,2
"1015053",0,3
"1015054",6,331
"1015056",0,8
"1015065",0,1
"1015067",0,4
"1015077",0,2
"1015094",0,1
"1015096",0,10
"1015112",0,3
"1015115",0,1
"1015116",0,12
"1015117",0,45
"1015145",1,798
"1015146",0,18
"1015162",0,16
"1015167",0,2
"1015175",0,14
"1015176",0,2
"1015186",0,2
"1015254",0,2
"1015255",0,2
"1015257",0,10
"1015274",0,1
"1015277",0,2
"1015283",0,2
"1015284",0,2
"1015303",0,1
"1015304",0,24
"1015306",0,2
"1015336",0,1
"1015364",0,2
"1015393",0,6
"1015397",0,4
"1015485",0,2
"1015494",0,2
"1015496",0,4
"1015502",0,4
"1015503",0,27
"1015516",0,5
"1015520",0,4
"1015524",0,5
"1015529",0,22
"1015538",0,3
"1015549",0,2
"1015553",0,1
"1015569",0,2
"1015572",0,4
"1015573",0,30
"1015577",0,3
"1015580",0,3
"1015581",0,2
"1015586",0,4
"1015597",0,2
"1015601",0,1
"1015615",0,1
"1015616",0,3
"1015617",0,1
"1015618",0,1
"1015652",0,5
"1015658",0,14
"1015662",0,1
"1015666",0,1
"1015668",0,4
"1015671",0,1
"1015681",0,62
"1015682",0,10
"1015686",0,2
"1015694",0,5
"1015699",0,5
"1015703",0,1
"1015723",0,71
"1015724",0,68
"1015726",0,1
"1015727",0,2
"1015728",0,4
"1015735",0,91
"1015745",0,1
"1015761",0,17
"1015765",0,3
"1015785",0,5
"1015806",0,3
"1015808",0,205
"1015810",0,6
"1015817",0,6
"1015822",0,8
"1015825",0,1
"1015836",0,4
"1015837",0,2
"1015839",0,1594
"1015844",0,1
"1015861",0,1
"1015874",0,1
"1015875",1,248
"1015879",0,1
"1015883",0,1
"1015911",0,4
"1015920",0,12
"1015921",0,2
"1015928",0,34
"1015930",0,4
"1015948",0,3
"1015950",0,126
"1015951",1,3
"1015952",0,41
"1015953",1,27
"1015954",0,18
"1015956",0,3
"1015957",0,4
"1015959",0,24
"1015965",0,4
"1015979",0,1
"1015980",1,1
"1015981",0,15
"1015983",0,4
"1015999",0,3
"1016031",0,3
"1016035",1,1
"1016048",0,1
"1016054",0,1099
"1016059",0,2
"1016061",0,2
"1016070",0,2
"1016078",0,36
"1016079",1,1
"1016080",0,17
"1016103",0,2
"1016113",0,4
"1016121",0,26
"1016131",0,8
"1016132",0,16
"1016137",0,5
"1016142",0,7
"1016147",0,1322
"1016212",0,14
"1016213",0,6
"1016223",0,4
"1016237",0,2
"1016252",0,2
"1016276",0,2
"1016285",0,5
"1016301",0,12
"1016343",0,1
"1016354",0,6
"1016360",0,2
"1016366",0,42
"1016374",0,2
"1016379",0,142
"1016381",0,6
"1016382",0,4
"1016384",0,3
"1016395",0,6
"1016396",0,5
"1016433",0,4
"1016441",0,124
"1016480",0,6
"1016501",0,2
"1016504",0,2
"1016527",0,272
"1016535",0,2
"1016536",0,6
"1016606",0,12
"1016622",0,1
"1016624",0,7
"1016626",0,4
"1016627",0,5
"1016638",0,3
"1016643",0,2
"1016659",1,1
"1016662",0,6
"1016668",0,3
"1016693",0,2
"1016705",1,49
"1016708",0,1
"1016719",0,1
"1016734",0,1
"1016749",0,4
"1016831",0,7
"1016849",0,1449
"1016877",0,1
"1016878",0,25
"1016879",0,3
"1016883",0,8
"1016888",0,4
"1016899",0,1
"1016913",0,4
"1016916",0,20
"1016950",0,2
"1016959",0,9
"1016960",0,1
"1016961",0,6
"1016979",0,1
"1016987",0,18
"1017008",0,6
"1017024",0,9
"1017041",0,1
"1017050",0,5
"1017066",0,3
"1017070",0,1
"1017092",0,40
"1017093",0,2
"1017107",0,4
"1017109",0,2
"1017127",0,8
"1017137",0,4
"1017138",0,24
"1017158",0,3
"1017160",0,3
"1017164",0,18
"1017166",1,2
"1017170",0,11
"1017173",0,22
"1017179",0,8
"1017195",0,8
"1017213",0,37
"1017218",0,2
"1017229",0,5
"1017234",0,4
"1017241",0,170
"1017253",0,8
"1017267",0,1
"1017271",0,31
"1017275",0,15
"1017284",0,32
"1017287",0,1
"1017303",0,1
"1017314",0,1
"1017318",0,2
"1017339",0,2
"1017344",0,2
"1017351",0,1
"1017358",0,12
"1017362",0,3
"1017367",0,1
"1017377",0,2
"1017386",0,6
"1017387",0,11
"1017405",0,13
"1017410",0,78
"1017436",0,34
"1017442",0,1
"1017447",0,5
"1017463",0,2
"1017481",0,6
"1017489",0,8
"1017490",0,3
"1017501",0,36
"1017506",0,16
"1017509",0,23
"1017510",0,21
"1017514",0,4
"1017518",0,7
"1017519",0,11
"1017520",0,2
"1017522",0,12
"1017524",0,13
"1017525",0,60
"1017526",0,36
"1017527",0,16
"1017532",1,7
"1017533",0,19
"1017534",0,19
"1017537",0,2
"1017543",0,34
"1017546",0,17
"1017547",0,20
"1017565",0,1
"1017567",2,8
"1017577",0,28
"1017584",0,18
"1017587",0,39
"1017588",0,43
"1017606",0,43
"1017607",0,6
"1017610",0,2
"1017611",0,6
"1017612",0,55
"1017618",0,7
"1017636",0,2
"1017646",0,4
"1017650",0,3
"1017690",0,1
"1017692",0,1
"1017698",0,6
"1017700",0,1
"1017720",1,92
"1017721",0,21
"1017722",1,20
"1017730",0,3
"1017747",0,2
"1017749",0,1
"1017773",0,4
"1017807",0,2
"1017813",0,2
"1017817",0,3
"1017833",0,24
"1017837",0,2
"1017844",0,9
"1017851",0,14
"1017858",0,1
"1017883",0,38
"1017885",0,34
"1017888",0,8
"1017889",0,34
"1017890",0,6
"1017892",0,12
"1017893",0,10
"1017894",0,43
"1017895",0,6
"1017896",0,99
"1017897",0,22
"1017898",0,43
"1017899",0,61
"1017900",0,124
"1017901",0,3
"1017908",0,25
"1017911",0,53
"1017912",0,25
"1017913",0,37
"1017914",0,23
"1017915",0,7
"1017918",0,2
"1017928",0,23
"1017934",1,1645
"1017941",0,6
"1017943",0,27
"1017948",0,3
"1017950",0,10
"1017951",0,18
"1017953",0,11
"1017954",0,19
"1017967",0,68
"1017968",0,18
"1017969",0,30
"1017974",0,49
"1017979",0,3
"1018000",0,1
"1018008",0,3
"1018022",0,26
"1018025",0,30
"1018033",0,1
"1018034",0,15
"1018036",0,15
"1018038",6,8
"1018041",0,5
"1018042",0,4
"1018051",2,7
"1018109",0,1
"1018158",0,2
"101817",0,62
"1018170",0,55
"1018173",0,8
"1018176",0,3
"1018181",0,2
"1018198",3,7
"101820",0,1259
"1018201",0,3
"1018214",0,7
"101822",0,571
"1018225",0,1
"1018233",0,4
"101825",1,7
"1018251",0,1
"1018257",0,1
"1018258",0,2
"101826",0,43
"1018263",0,2
"1018264",0,35
"101827",0,120
"1018273",0,2
"1018276",0,1
"1018278",0,9
"1018279",0,1
"1018286",0,4
"101829",0,31
"101830",2,322
"1018303",0,1
"1018306",0,2
"101831",0,18
"1018318",0,44
"101833",0,15
"1018338",0,2
"101834",0,1
"1018353",0,3
"1018356",0,22
"1018359",0,1
"1018365",0,1
"101839",0,894
"101840",0,2
"1018405",0,2
"1018418",0,18
"1018426",0,3
"101843",0,6
"101844",0,3
"1018452",0,2
"101846",1,244
"1018478",0,6
"1018483",0,1
"101849",0,42
"1018495",0,12
"1018497",0,35
"1018499",0,7
"1018501",0,9
"1018504",0,2
"101851",0,233
"101852",0,2
"1018526",0,18
"101853",0,92
"1018538",0,42
"1018546",0,1
"1018548",0,5
"101855",0,13
"1018560",0,2
"101857",0,5362
"101858",0,79
"1018589",0,3
"101859",0,10
"1018592",0,3
"101860",0,2
"1018617",0,1
"101862",0,2
"1018625",0,2
"1018626",0,4
"1018630",0,1
"1018631",0,2
"101864",0,4639
"1018657",0,239
"101866",0,33
"1018662",0,2
"1018665",0,2
"1018666",0,2
"1018670",0,2
"1018675",0,18
"1018677",0,2
"1018679",0,4
"1018681",0,2
"1018686",0,6
"1018706",0,184
"101871",0,1088
"1018712",0,2
"101872",0,138
"1018726",0,11
"101873",0,76
"1018736",0,7
"101874",0,5
"1018748",0,1
"101875",0,6
"101876",0,13
"101877",0,155
"1018772",0,1
"1018775",0,26
"101878",0,4
"1018782",0,2
"1018790",0,1
"1018794",0,2
"1018799",0,1
"101880",0,1
"1018804",0,5
"101881",1,68
"1018813",0,20
"1018815",0,5
"1018817",0,4
"1018822",0,1
"1018829",0,6
"101883",0,162
"101884",0,32
"1018843",0,1
"101885",0,525
"1018857",0,1
"101888",0,322
"1018891",0,1
"101891",1,11598
"101892",0,5
"1018923",0,1
"101894",0,3
"1018943",0,4
"1018949",0,2
"101895",0,86
"1018957",0,3
"1018958",0,2
"101896",1,3581
"101897",14,673
"101898",0,335
"1018982",0,2
"1018983",0,2
"101899",0,2
"101900",0,3
"1019000",0,295
"1019017",0,1
"101902",0,11
"1019022",0,4
"1019059",0,202
"101906",0,29
"1019061",0,10
"1019066",0,1
"101907",0,2
"101908",0,2026
"101909",0,12
"1019098",0,2
"1019102",0,1
"101911",0,7
"101912",0,107
"101914",0,5
"1019146",0,16
"101915",0,31
"1019150",0,2
"1019151",0,1
"1019152",0,1
"1019153",0,1
"1019159",68,117
"101916",0,11
"1019160",0,4
"1019167",0,4
"101917",0,96
"1019174",0,1
"1019175",0,1
"1019177",0,3
"1019178",0,1
"101918",0,57
"1019185",0,1
"101919",0,2
"1019194",0,3
"101920",0,6
"1019200",0,4
"1019201",0,1
"1019207",0,1
"101922",0,9
"101923",0,532
"1019231",0,4
"1019235",0,9
"1019239",0,40
"101925",0,3
"101926",0,61
"1019264",0,599
"101927",1,168
"1019273",0,1
"101928",1,7035
"1019280",0,5
"1019282",0,2
"1019286",0,102
"1019293",0,8
"1019298",0,16
"101930",1,8273
"1019307",0,27
"101931",0,7
"101932",0,84
"1019322",0,1
"101933",0,2545
"1019339",0,2
"101935",0,1
"1019350",0,2
"1019355",0,2
"1019359",0,6
